,index,Unnamed: 0,copyright,creditline,createdate,division,period,totalpageviews,accessionyear,classification,style,commentary,technique,description,medium,title,accessionmethod,provenance,dated,department,dateend,people,century,objectnumber,labeltext,culture,objectid,dimensions
12,42,91,© Estate of Joseph Janney Steinmetz,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts, American Professional Photographers Collection",2002-11-01T00:00:00-05:00,Modern and Contemporary Art,,1,2011.0,Photographs,,,"Negative, gelatin silver (film)",,,Untitled (San Idefonso Indian women removing bread from oven),Transfer,,1946,Department of Photographs,1946,"[{'role': 'Artist', 'birthplace': 'Germantown, PA', 'gender': 'male', 'displaydate': '1905 - 1985', 'prefix': None, 'culture': 'American', 'displayname': 'Joseph Janney Steinmetz', 'alphasort': 'Steinmetz, Joseph Janney', 'name': 'Joseph Janney Steinmetz', 'personid': 22612, 'deathplace': 'Sarasota, FL', 'displayorder': 1}]",20th century,4.2002.7056,,American,135443,image: 10.16 x 12.7 cm (4 x 5 in.)
13,43,71,,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts, American Professional Photographers Collection",2002-11-01T00:00:00-05:00,Modern and Contemporary Art,,3,2011.0,Photographs,,,"Negative, gelatin silver (film)",,,Untitled (cast of pilgrim and indian performers on platform of altar of church),Transfer,,1939,Department of Photographs,1939,"[{'role': 'Artist', 'birthplace': None, 'gender': 'unknown', 'displaydate': '20th century', 'prefix': None, 'culture': 'American', 'displayname': 'Durette Studio', 'alphasort': 'Durette Studio', 'name': 'Durette Studio', 'personid': 22345, 'deathplace': None, 'displayorder': 1}]",20th century,4.2002.4140,,American,138037,image: 20.32 x 25.4 cm (8 x 10 in.)
14,44,46,,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts, American Professional Photographers Collection",2003-02-19T00:00:00-05:00,Modern and Contemporary Art,,55,2011.0,Photographs,,,Gelatin silver print,,,Untitled (white women dressed in Indian costumes),Transfer,,"1953, printed later",Department of Photographs,1953,"[{'role': 'Artist', 'birthplace': None, 'gender': 'male', 'displaydate': '1897 - 1980', 'prefix': None, 'culture': 'American', 'displayname': 'Harry Annas', 'alphasort': 'Annas, Harry', 'name': 'Harry Annas', 'personid': 22094, 'deathplace': None, 'displayorder': 1}]",20th century,4.2002.199,,American,142691,image: 23.5 x 31 cm (9 1/4 x 12 3/16 in.)
16,63,76,,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts",2001-12-19T00:00:00-05:00,European and American Art,,4,2011.0,Photographs,,,Albumen silver print,,,"Indian Town, Juneau, Alaska",Transfer,,1880s,Department of Photographs,1880,"[{'role': 'Artist', 'birthplace': None, 'gender': 'unknown', 'displaydate': None, 'prefix': None, 'culture': None, 'displayname': 'Unidentified Artist', 'alphasort': 'Unidentified Artist', 'name': 'Unidentified Artist', 'personid': 34147, 'deathplace': None, 'displayorder': 1}]",19th century,2.2002.2598,,,156508,"image: 19.3 x 24.7 cm (7 5/8 x 9 3/4 in.)
mount: 27.5 x 35.4 cm (10 13/16 x 13 15/16 in.)"
17,64,78,,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts",2001-12-19T00:00:00-05:00,European and American Art,,39,2011.0,Photographs,,,Albumen silver print,,,"Indian Totem Poles, Fort Wrangel, Alaska",Transfer,,1880s,Department of Photographs,1880,"[{'role': 'Artist', 'birthplace': None, 'gender': 'unknown', 'displaydate': None, 'prefix': None, 'culture': None, 'displayname': 'Unidentified Artist', 'alphasort': 'Unidentified Artist', 'name': 'Unidentified Artist', 'personid': 34147, 'deathplace': None, 'displayorder': 1}]",19th century,2.2002.2600,,,156510,"image: 24.2 x 19.4 cm (9 1/2 x 7 5/8 in.)
mount: 35.4 x 27.8 cm (13 15/16 x 10 15/16 in.)"
18,65,59,,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts",2001-12-19T00:00:00-05:00,European and American Art,,53,2011.0,Photographs,,,Albumen silver print,,,Sioux Indian Dance,Transfer,,1891,Department of Photographs,1891,"[{'role': 'Artist', 'birthplace': None, 'gender': 'unknown', 'displaydate': '19th century', 'prefix': None, 'culture': 'American', 'displayname': 'W. R. Cross', 'alphasort': 'Cross, W. R.', 'name': 'W. R. Cross', 'personid': 22342, 'deathplace': None, 'displayorder': 1}]",19th century,2.2002.2681,,,156591,"image: 16.7 x 24.5 cm (6 9/16 x 9 5/8 in.)
mount: 25.5 x 30.4 cm (10 1/16 x 11 15/16 in.)"
19,66,18,,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts",2001-12-19T00:00:00-05:00,European and American Art,,32,2011.0,Photographs,,,Albumen silver print,,,Indian Chiefs Who Counciled with Gen. Miles and Settled the Indian War,Transfer,,1880s,Department of Photographs,1880,"[{'role': 'Artist', 'birthplace': None, 'gender': 'unknown', 'displaydate': '19th century', 'prefix': None, 'culture': 'American', 'displayname': 'Grabill', 'alphasort': 'Grabill', 'name': 'Grabill', 'personid': 22370, 'deathplace': None, 'displayorder': 1}]",19th century,2.2002.2184,,,157050,"image: 16.2 x 22.6 cm (6 3/8 x 8 7/8 in.)
mount: 17.3 x 25 cm (6 13/16 x 9 13/16 in.)"
20,67,40,,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts, Transferred from the Museum of Comparative Zoology Library, Gift of the U.S. War Department, 1877",2001-12-19T00:00:00-05:00,European and American Art,,91,2011.0,Photographs,,,Albumen silver print,,,"Aboriginal Life Among the Navajoe Indians. Near old Fort Defiance, N.M.",Transfer,,1873,Department of Photographs,1873,"[{'role': 'Artist', 'birthplace': 'New York, New York', 'gender': 'male', 'displaydate': '1840 - 1882', 'prefix': None, 'culture': 'American', 'displayname': ""Timothy H. O'Sullivan"", 'alphasort': ""O'Sullivan, Timothy H."", 'name': ""Timothy H. O'Sullivan"", 'personid': 34869, 'deathplace': 'Staten Island, New York', 'displayorder': 1}]",19th century,2.2002.1065,,American,157374,"image: 26.5 x 19.8 cm (10 7/16 x 7 13/16 in.)
sheet: 50 x 40.6 cm (19 11/16 x 16 in.)"
21,68,3,,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts",2001-12-19T00:00:00-05:00,European and American Art,,21,2011.0,Photographs,,,Albumen silver print,,,"View of Indian Camp, Pine Ridge Agency, S. D.",Transfer,,1891,Department of Photographs,1891,"[{'role': 'Artist', 'birthplace': None, 'gender': 'unknown', 'displaydate': '19th century', 'prefix': None, 'culture': 'American', 'displayname': 'W. R. Cross', 'alphasort': 'Cross, W. R.', 'name': 'W. R. Cross', 'personid': 22342, 'deathplace': None, 'displayorder': 1}]",19th century,2.2002.1786,,,157537,"image: 18.7 x 23.8 cm (7 3/8 x 9 3/8 in.)
mount: 25.4 x 30.5 cm (10 x 12 in.)"
23,70,42,,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts, Transferred from the Museum of Comparative Zoology Library, Gift of the U.S. War Department, 1877",2001-12-19T00:00:00-05:00,European and American Art,,42,2011.0,Photographs,,,Albumen silver print,,,"Indian Pueblo, Zuni, N. M.",Transfer,,1873,Department of Photographs,1873,"[{'role': 'Artist', 'birthplace': 'New York, New York', 'gender': 'male', 'displaydate': '1840 - 1882', 'prefix': None, 'culture': 'American', 'displayname': ""Timothy H. O'Sullivan"", 'alphasort': ""O'Sullivan, Timothy H."", 'name': ""Timothy H. O'Sullivan"", 'personid': 34869, 'deathplace': 'Staten Island, New York', 'displayorder': 1}]",19th century,2.2002.1066,,American,158176,"image: 20.1 x 27.6 cm (7 15/16 x 10 7/8 in.)
mount: 40.5 x 50.8 cm (15 15/16 x 20 in.)"
24,71,51,,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts, Transferred from the Museum of Comparative Zoology Library, Gift of the U.S. War Department, 1877",2001-12-19T00:00:00-05:00,European and American Art,,27,2011.0,Photographs,,,Albumen silver print,,,"Group of Pah-Ute Indians, Nevada",Transfer,,1871,Department of Photographs,1871,"[{'role': 'Artist', 'birthplace': 'New York, New York', 'gender': 'male', 'displaydate': '1840 - 1882', 'prefix': None, 'culture': 'American', 'displayname': ""Timothy H. O'Sullivan"", 'alphasort': ""O'Sullivan, Timothy H."", 'name': ""Timothy H. O'Sullivan"", 'personid': 34869, 'deathplace': 'Staten Island, New York', 'displayorder': 1}]",19th century,2.2002.1080,,American,158185,"image: 20.1 x 27.6 cm (7 15/16 x 10 7/8 in.)
mount: 40.5 x 50.8 cm (15 15/16 x 20 in.)"
25,73,59,,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts, Transferred from the Peabody Museum",2001-12-18T00:00:00-05:00,European and American Art,,173,2011.0,Photographs,,,Albumen silver print,,,"Hair Washing, Hopi Indians (Shoshonean)",Transfer,,c. 1870,Department of Photographs,1875,"[{'role': 'Artist', 'birthplace': 'Hanover, Germany', 'gender': 'male', 'displaydate': 'c. 1843 - c. 1925', 'prefix': None, 'culture': 'American', 'displayname': 'John K. Hillers', 'alphasort': 'Hillers, John K.', 'name': 'John K. Hillers', 'personid': 22090, 'deathplace': 'Washington, D.C.', 'displayorder': 1}]",19th century,2.2002.382,,American,159314,"image: 23.5 x 18 cm (9 1/4 x 7 1/16 in.)
mount: 35 x 28 cm (13 3/4 x 11 in.)"
26,74,93,© Per Brandin 1979,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts, Gift of Apeiron Workshops",2001-12-18T00:00:00-05:00,Modern and Contemporary Art,,122,2011.0,Photographs,,,Gelatin silver print,,,"Poosepatuck Indian Reservation, Mastic",Transfer,,1979,Department of Photographs,1979,"[{'role': 'Artist', 'birthplace': None, 'gender': 'unknown', 'displaydate': 'born 1953', 'prefix': None, 'culture': 'American', 'displayname': 'Per Brandin', 'alphasort': 'Brandin, Per', 'name': 'Per Brandin', 'personid': 22053, 'deathplace': None, 'displayorder': 1}]",20th century,2.2002.230,,American,159926,"image: 32.7 x 21.8 cm (12 7/8 x 8 9/16 in.)
sheet: 35.3 x 27.7 cm (13 7/8 x 10 7/8 in.)"
27,77,47,,"Harvard Art Museums/Fogg Museum, A Gift to the Museum from  Arthur W. Arundel through the Harvard Fund Council, Class of 1951",2000-06-29T00:00:00-04:00,European and American Art,,6,1974.0,Coins,,,,Obverse: Queen Victoria in border of Greek key design; reverse: palm tree with Indian inscription.,Copper,One Cent Coin,Gift,"Arthur W. Arundel, Gift to the Fogg Art Museum, 1974.
",1870,"Department of Paintings, Sculpture & Decorative Arts",1870,"[{'role': 'Artist', 'birthplace': None, 'gender': 'unknown', 'displaydate': None, 'prefix': None, 'culture': None, 'displayname': 'Unidentified Artist', 'alphasort': 'Unidentified Artist', 'name': 'Unidentified Artist', 'personid': 34147, 'deathplace': None, 'displayorder': 1}]",19th century,1974.27.289,,British,184019,"2.2 cm diam. x 0.2 cm depth (7/8 x 1/16 in.)
4.47 g"
29,79,22,,"Harvard Art Museums/Fogg Museum, Gift of Mrs. Francis Ormond",2006-03-27T00:00:00-05:00,European and American Art,,86,1937.0,Drawings,,,,,Watercolor on off-white wove paper,"Gathering of Men, after an Indian Miniature",Gift,"To the artist's sisters, Violet (Mrs. Francis) Ormond and Emily Sargent, at his death, 1925; gift of Mrs. Ormond to the Fogg Art Museum, 1937.",19th-20th century,Department of Drawings,0,"[{'role': 'Artist', 'birthplace': None, 'gender': 'unknown', 'displaydate': None, 'prefix': None, 'culture': None, 'displayname': 'Unidentified Artist', 'alphasort': 'Unidentified Artist', 'name': 'Unidentified Artist', 'personid': 34147, 'deathplace': None, 'displayorder': 1}, {'role': 'Previous attribution', 'birthplace': 'Florence, Italy', 'gender': 'male', 'displaydate': '1856 - 1925', 'prefix': 'Previously attributed to', 'culture': 'American', 'displayname': 'Previously attributed to John Singer Sargent', 'alphasort': 'Sargent, John Singer', 'name': 'John Singer Sargent', 'personid': 28495, 'deathplace': 'London, England', 'displayorder': 2}]",19th-20th century,1937.7.27.4.A,,American,197836,22.8 x 30.5 cm (9 x 12 in.)
30,80,67,,"Harvard Art Museums/Fogg Museum, Bequest of Meta and Paul J. Sachs",2001-07-30T00:00:00-04:00,European and American Art,,61,1965.0,Drawings,,,,,Black ink and black chalk with gray wash and white gouache on toned cream antique laid paper laid down on a decorated mount,Marriage Ritual of the Indians of Panama,Bequest,,18th century,Department of Drawings,0,"[{'role': 'Artist', 'birthplace': 'Paris', 'gender': 'male', 'displaydate': '1673 - 1733', 'prefix': None, 'culture': 'French', 'displayname': 'Bernard Picart', 'alphasort': 'Picart, Bernard', 'name': 'Bernard Picart', 'personid': 28062, 'deathplace': 'Amsterdam', 'displayorder': 1}]",18th century,1965.237,,French,296246,6.8 x 15.5 cm (2 11/16 x 6 1/8 in.)
31,82,63,,"Harvard Art Museums/Fogg Museum, Gift of Dr. Ananda K. Coomaraswamy",1997-07-03T00:00:00-04:00,Modern and Contemporary Art,,22,1936.0,Drawings,,,,,Graphite on off-white paper,Indian Pilgrims,Gift,"Ananda K. Coomaraswamy, gift; to Fogg Art Museum, 1936.",20th century,Department of Drawings,0,"[{'role': 'Artist', 'birthplace': None, 'gender': 'unknown', 'displaydate': '1884 - 1952', 'prefix': None, 'culture': 'British', 'displayname': 'Dorothy Larcher', 'alphasort': 'Larcher, Dorothy', 'name': 'Dorothy Larcher', 'personid': 27068, 'deathplace': None, 'displayorder': 1}]",20th century,1936.136,,British,298174,23.6 x 35.3 cm (9 5/16 x 13 7/8 in.)
33,84,61,,"Harvard Art Museums/Fogg Museum, Gift of Mrs. Francis Ormond",2006-03-27T00:00:00-05:00,European and American Art,,479,1937.0,Drawings,,,,"Album with black-cloth-covered cardboard covers, black-leather-covered spine and corners, with gilt tooling. White silked-paper (i.e. paper treated with clay to look like silk) endpapers. Eleven pages of off-white cardboard. A number of pages appear to have been removed from the center of the album, but this may have been a result of the way it was bound. The pages are numbered in red-brown ink in the upper right hand corner.

Contents:  This album contains drawings, photographs, and a newspaper clipping affixed to pages of off-white cardboard. It includes drawings for ""Spanish Dance"" (1880, Hispanic Society, New York), ""Girl in White (Portrait of Elsie Palmer)"" (1889-90, Colorado Springs Fine Arts Center), a sketch of Mme. Helleu, figure sketches, dogs. Also, photographs of paintings by Sargent: ""Nude Egyptian Girl"" (1891, Art Institute of Chicago), ""La Carmencita"" (1890, Musée d'Orsay, Paris), ""Fumée d’Ambre Gris"" (1880, Clark Art Institute, Williamstown, Mass.), portraits of Caspar Goodrich (1888, private collection) and Marchese Folchi Vici (1888, whereabouts unknown); two photographs of drawings of men by Sargent and a photograph of a drawing of Polly Barnard.  Also a photograph of Sargent at Broadway painting ""Carnation, Lily, Lily, Rose."" Additionally, caricatures by Kenyon Cox of Sargent, Paul Helleu, and an unknown woman, as well as a number of works by unknown hands, including a portrait sketch that resembles Sargent, a copy after an Indian miniature, four small watercolors painted in a Japanese style, and a sketch of a man; one line-block print cut from a French newspaper reproducing a drawing of a woman by Sargent’s teacher Carolus-Duran. It is not known who assembled the album.",Album with black cloth-covered cardboard covers,Album: Figure Sketches and Photographs of Sargent Works,Gift,"To the artist's sisters, Violet (Mrs. Francis) Ormond and Emily Sargent, at his death, 1925; gift of Mrs. Ormond to the Fogg Art Museum, 1937.",19th-20th century,Department of Drawings,0,"[{'role': 'Artist', 'birthplace': 'Florence, Italy', 'gender': 'male', 'displaydate': '1856 - 1925', 'prefix': None, 'culture': 'American', 'displayname': 'John Singer Sargent', 'alphasort': 'Sargent, John Singer', 'name': 'John Singer Sargent', 'personid': 28495, 'deathplace': 'London, England', 'displayorder': 1}]",19th-20th century,1937.7.27.1.A-11.B,,American,307743,"27.8 x 38.1 x 3.8 cm (10 15/16 x 15 x 1 1/2 in.)
page: 26.5 x 35.1 cm (10 7/16 x 13 13/16 in.)"
34,85,5,,"Harvard Art Museums/Fogg Museum, Gift of Alexander M. White",2006-03-27T00:00:00-05:00,European and American Art,,681,1960.0,Drawings,,,,Verso is covered with old adhesive.,Watercolor over graphite on heavy off-white wove paper,"Indian Village, Adirondacks",Gift,"Winslow Homer, bequest; to his brother Charles S. Homer, Jr., 1910, sold [through M. Knoedler & Co. Inc., New York, NY, 1910]; to Alexander Moss White, Jr., Brooklyn, NY, 1911, bequest; to Alexander Moss White III, Brooklyn, NY, 1929, gift; to Fogg Art Museum, 1960
",1894,Department of Drawings,1894,"[{'role': 'Artist', 'birthplace': 'Boston, MA', 'gender': 'male', 'displaydate': '1836 - 1910', 'prefix': None, 'culture': 'American', 'displayname': 'Winslow Homer', 'alphasort': 'Homer, Winslow', 'name': 'Winslow Homer', 'personid': 26501, 'deathplace': 'Prouts Neck, ME', 'displayorder': 1}]",19th century,1960.669,,American,308599,38.5 x 54.5 cm (15 3/16 x 21 7/16 in.)
35,86,20,,"Harvard Art Museums/Fogg Museum, Bequest of Meta and Paul J. Sachs",2006-03-27T00:00:00-05:00,Modern and Contemporary Art,,15,1965.0,Drawings,,,,,Black crayon on off-white wove paper,"Indian Girl, Seated",Bequest,"Paul J. Sachs, Cambridge, Massachusetts (L.2091), by 1928, bequest; to Fogg Art Museum, 1965.
",19th-20th century,Department of Drawings,0,"[{'role': 'Artist', 'birthplace': 'Tacoma, Washington', 'gender': 'male', 'displaydate': '1897 - 1948', 'prefix': None, 'culture': 'American', 'displayname': 'Thomas Schofield Handforth', 'alphasort': 'Handforth, Thomas Schofield', 'name': 'Thomas Schofield Handforth', 'personid': 24669, 'deathplace': 'Los Angeles, CA', 'displayorder': 1}]",19th-20th century,1965.119,,American,308818,30.6 x 22.5 cm (12 1/16 x 8 7/8 in.)
37,88,67,"© Suzan Frecon / Artists Rights Society (ARS), New York","Harvard Art Museums/Fogg Museum, Margaret Fisher Fund",1994-03-11T00:00:00-05:00,Modern and Contemporary Art,,55,1994.0,Drawings,,,,,Watercolor on Indian paper,double red structural study straight and curved,Purchase,"[Lawrence Markey, Inc., New York, New York], sold; to Harvard University Art Museums, 1994. 
",1993,Department of Drawings,1993,"[{'role': 'Artist', 'birthplace': 'Mexico, Penn.', 'gender': 'female', 'displaydate': 'born 1940', 'prefix': None, 'culture': 'American', 'displayname': 'Suzan Frecon', 'alphasort': 'Frecon, Suzan', 'name': 'Suzan Frecon', 'personid': 33958, 'deathplace': None, 'displayorder': 1}]",20th century,1994.6,,American,310082,actual: 28 x 37.3 cm (11 x 14 11/16 in.)
38,89,21,"© Suzan Frecon / Artists Rights Society (ARS), New York","Harvard Art Museums/Fogg Museum, Margaret Fisher Fund",1994-03-11T00:00:00-05:00,Modern and Contemporary Art,,59,1994.0,Drawings,,,,,Opaque watercolor on Indian paper,Untitled,Purchase,"[Lawrence Markey, Inc., New York, New York], sold; to Harvard University Art Museums, 1994. 
",1992,Department of Drawings,1992,"[{'role': 'Artist', 'birthplace': 'Mexico, Penn.', 'gender': 'female', 'displaydate': 'born 1940', 'prefix': None, 'culture': 'American', 'displayname': 'Suzan Frecon', 'alphasort': 'Frecon, Suzan', 'name': 'Suzan Frecon', 'personid': 33958, 'deathplace': None, 'displayorder': 1}]",20th century,1994.5,,American,310139,23 × 32.7 cm (9 1/16 × 12 7/8 in.)
39,91,87,,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts, American Professional Photographers Collection",2006-08-18T14:45:53-04:00,Modern and Contemporary Art,,2,2011.0,Photographs,,,"Negative, gelatin silver (35mm film)",,,Untitled (children in cowboy and Indian costumes),Transfer,,1975,Department of Photographs,1975,"[{'role': 'Artist', 'birthplace': 'Pennsylvania', 'gender': 'unknown', 'displaydate': '1916 - 1985', 'prefix': None, 'culture': 'American', 'displayname': 'Mary Lowber Tiers', 'alphasort': 'Tiers, Mary Lowber', 'name': 'Mary Lowber Tiers', 'personid': 22495, 'deathplace': 'Florida', 'displayorder': 1}]",20th century,4.2002.15858.1,,American,315652,3 x 3.5 cm (1 3/16 x 1 3/8 in.)
