,title,dated,objectid,classification,accessionmethod
74,Untitled (children in cowboy and Indian costumes),1975,315653,Photographs,Transfer
75,Untitled (children in cowboy and Indian costumes),1975,315654,Photographs,Transfer
76,Untitled (children in cowboy and Indian costumes),1975,315655,Photographs,Transfer
77,"Untitled (four photographs, clockwise from the top center, The Indian Hunter; Madame La Colonelle, 1863; The Young Guardsman at 9 months. March/63; The Colonel in Canada. 1863)",1862-1888,317513,Photographs,Purchase
81,Indian with White Man,2007,324132,Photographs,Purchase
85,Kiowa Warriors in Regalia,c. 1890,337454,Drawings,Gift
86,"Cheyenne Indian Ledger Drawing, Rider with Green Headdress Shoots Buffalo",c. 1880,337455,Drawings,Gift
87,Battle Scene between Plains Indians and U.S. Troops,c. 1890,337456,Drawings,Gift
88,"X-radiograph(s) of ""Indian""",,347030,Photographs,Not Recorded
89,G. H. C. Melody and the Ioway Indians,c. 1845,357462,Prints,Purchase
90,Navaho Indian Woman,1930s,359845,Photographs,Gift
91,Indian Ovens,1920s-1930s,359846,Photographs,Gift
92,Taos Indian Woman,1920s-1930s,359848,Photographs,Gift
93,Untitled (Man in Indian Costume and Seated Woman),,360930,Photographs,Gift
94,"Untitled (Indian shot with arrows) from the portfolio ""Spur I""",1974,219221,Multiples,Purchase
95,Genesis:  The Five Hairs of the One Old Man (America/Thompson Indians),1993,219397,Drawings,Gift
97,The Franciscan and the Indian,1929,253351,Prints,Purchase
98,"Lo, the Poor Indian",19th-20th century,256115,Prints,Gift
99,Taos Indian (Fat John?),1927,257507,Prints,Gift
100,Indian Settlement,19th century,257601,Prints,Gift
101,"Indian Homes, Gila River, Arizona",19th-20th century,257891,Prints,Gift
102,Mountain Stream (Indians Reposing),19th century,258100,Prints,Gift
103,Miss American Indian,20th century,258669,Prints,Gift
104,"Mariano Ceballos, alias the Indian, Kills the Bull from His Horse",1816,259890,Prints,Gift
105,An Indian Custom,1844,268938,Prints,Gift
106,Native American Indian,1645,273853,Prints,Not Recorded
107,William Penn's Treaty with the Indians,18th century,274398,Prints,Not Recorded
108,"Mariano Ceballos, alias the Indian, kills the bull from his horse.",1816,277637,Prints,Not Recorded
109,The Widow of an Indian Chief Watching the Arms of Her Deceas'd Husband,1789,279410,Prints,Not Recorded
110,"Sheet 80: Thomas Crawford's plaster model of ""The Indian: The Dying Chief Contemplating the Progress of Civilization""",1857-1858,281052,Photographs,Transfer
111,"Sheet 81: Bust of Bee-she-kee, an Indian chief, aged 50 years, modelled from nature at the U.S. Capitol",1857-1858,281365,Photographs,Transfer
112,"Sheet 81: ""Indian Mother,"" one of the figures by T. Crawford in the pediment of the north wing",1857-1858,281366,Photographs,Transfer
113,Indian Club Demonstration,1939,281424,Photographs,Gift
114,Indian Club Demonstration,"1939, printed later",281970,Photographs,Gift
115,Basketry of the Mission Indians,1924,285599,Photographs,Purchase
116,"Burial Mound of the Seneca Indians at the Old Castle, Kanadesaga (186)",1879,285930,Photographs,Gift
117,Untitled (interior of living room with oriental rug on floor and portrait on wall),c. 1930-1944,131517,Photographs,Transfer
118,Untitled (group portrait of wedding party posed in room with columns and oriental rug),1949,132983,Photographs,Transfer
119,Oriental Scene,18th-19th century,295212,Drawings,Bequest
120,Oriental Scene,18th-19th century,295450,Drawings,Bequest
121,Standing Man in Oriental Costume,1860s,297700,Drawings,Bequest
122,An Oriental Holding a Horse,1820-1823,298108,Drawings,Gift
123,Oriental Dancer with Legs Crossed,19th century,298188,Drawings,Gift
124,Oriental Dancer,19th century,298481,Drawings,Gift
125,Nude Oriental Youth with Apple Blossom,c. 1878-79,310510,Drawings,Gift
126,Man in Oriental Costume Holding a Pipe,18th century,312403,Drawings,Gift
127,"An Oriental Grandee, a Peasant with a Cock attached to his Belt and a Veiled Woman Playing the Rumbling-Pot",1595-1596,342848,Prints,Purchase
128,"X-radiograph(s) of ""An Oriental Prince""",,343606,Photographs,Not Recorded
129,"X-radiograph(s) of ""An Oriental""",,345389,Photographs,Not Recorded
130,"X-radiograph(s) of ""An Oriental""",,347220,Photographs,Not Recorded
131,Young Woman Wearing a Mob Cap; verso: Man with Oriental Costume,c. 1849-51,353716,Drawings,Long Term Loan and Promised Gift
133,Still Life with Oriental Head,19th-20th century,230842,Paintings,Bequest
134,Oriental Merchant with Merchandise at Riverside,17th century,232992,Prints,Purchase
135,Small Study of a Head in Oriental Headdress,17th century,233151,Prints,Not Recorded
136,Small Study of a Head in Oriental Headdress,17th century,233152,Prints,Not Recorded
137,Small Study of a Head in Oriental Headdress,17th century,233443,Prints,Not Recorded
138,Small Study of a Head in Oriental Headdress,17th century,233444,Prints,Not Recorded
139,Small Study of a Head in Oriental Headdress,17th century,233445,Prints,Not Recorded
140,Small Study of a Head in Oriental Headdress,17th century,233494,Prints,Not Recorded
141,Small Study of a Head in Oriental Headdress,17th century,233495,Prints,Not Recorded
142,Small Study of a Head in Oriental Headdress,17th century,233527,Prints,Not Recorded
143,Small Study of a Head in Oriental Headdress,17th century,233533,Prints,Not Recorded
144,Small Study of a Head in Oriental Headdress,17th century,233534,Prints,Not Recorded
145,Small Study of a Head in Oriental Headdress,17th century,233562,Prints,Not Recorded
146,Small Study of a Head in Oriental Headdress,17th century,233563,Prints,Not Recorded
147,Small Study of a Head in Oriental Headdress,17th century,233564,Prints,Not Recorded
148,Small Study of a Head in Oriental Headdress,17th century,233578,Prints,Not Recorded
149,Small Study of a Head in Oriental Headdress,17th century,233579,Prints,Not Recorded
150,Small Study of a Head in Oriental Headdress,17th century,233610,Prints,Not Recorded
151,Large Study of a Head in Oriental Headdress,17th century,234898,Prints,Not Recorded
152,Large Study of a Head in Oriental Headdress,17th century,234899,Prints,Not Recorded
153,Large Study of Head in Oriental Headdress,17th century,234900,Prints,Not Recorded
154,Large Study of Head in Oriental Headdress,17th century,234901,Prints,Not Recorded
155,Bust of a Bearded Oriental Wearing a Turban with a Feather,17th century,235010,Prints,Not Recorded
156,Old Man in Oriental Costume,18th century,236063,Prints,Not Recorded
157,Oriental Hunters Chasing Stags,16th century,236374,Prints,Not Recorded
158,Oriental Hunters Killing Monkeys,16th century,236465,Prints,Not Recorded
159,Oriental Hunters Smoking Out a Lion's Den,16th century,236690,Prints,Not Recorded
160,Oriental Hunters Chasing Leopards and Stags,16th century,236699,Prints,Not Recorded
161,"A Leopard Hunt, with Oriental Hunters",16th century,236763,Prints,Not Recorded
162,Large Head in Oriental Dress,16th century,243103,Prints,Gift
163,Large Head in Oriental Dress,16th century,243870,Prints,Gift
164,Three Heads of Orientals,18th-19th century,245217,Prints,Gift
165,Two Male Oriental Heads,1782,245620,Prints,Gift
166,Oriental Figure,19th century,246649,Prints,Gift
167,Bust of an Oriental with Beard and High Cap,18th century,247661,Prints,Gift
168,Bust of an Oriental,18th century,247694,Prints,Gift
169,Three Oriental Figures (Jacob and Laban),17th century,249458,Prints,Gift
170,Three Oriental Figures,1641,249937,Prints,Gift
171,Oriental,1895,250714,Prints,Gift
172,Oriental Head,1992,255857,Prints,Gift
173,Oriental Hunters Chasing Antelopes with Cheetahs and Dogs,16th-17th century,260880,Prints,Gift
175,Three Oriental Figures,1641,262182,Prints,Bequest
176,"Bearded Man, in a Furred Oriental Cap and Robe",1631,262264,Prints,Gift
177,Oriental Objects,1863,265350,Prints,Gift
178,Goblet of Oriental Jasper and Vase of Rock Crystal,19th century,265489,Prints,Gift
179,Comfit-Dish of Oriental Jasper,1864,265538,Prints,Gift
180,Goblet of Oriental Sardonyx,19th century,265542,Prints,Gift
181,Rocambole Threatens... the Oriental Question...,1867,266187,Prints,Gift
182,Two Men in Oriental Costume,19th century,273922,Prints,Not Recorded
183,Oriental Figure,19th century,277435,Prints,Not Recorded
184,The Oriental Peasant and His Family,18th century,278782,Prints,Not Recorded
185,The First Oriental Head,1635,279260,Prints,Not Recorded
186,Rembrandt's Mother in an Oriental Headdress,1631,279263,Prints,Not Recorded
187,Oriental Merchant with Merchandise at Riverside,17th century,280290,Prints,Not Recorded
188,"""Oriental"" bracelet",18th-19th century,210629,Jewelry,Bequest
