,Unnamed: 0,copyright,creditline,createdate,division,period,totalpageviews,accessionyear,classification,primaryimageurl,style,commentary,technique,description,medium,title,accessionmethod,provenance,dated,department,dateend,people,url,century,objectnumber,labeltext,culture,objectid,dimensions
11577,77,,"Harvard Art Museums/Fogg Museum, Friends of the Fogg Art Museum Fund",2005-05-24T00:00:00-04:00,European and American Art,,14,1946.0,Drawings,https://nrs.harvard.edu/urn-3:HUAM:78595_dynmc,,The inscription refers to the artist Joseph Wright of Derby (1734-1797).,,,Metalpoint on prepared paper,Inscription; verso: Sketch,Purchase,"Geoffrey Steele's Bookshop, Mahopac, NY, sold to Fogg, 1946.
",19th century,Department of Drawings,0,"[{'role': 'Artist', 'birthplace': 'Scarborough England', 'gender': 'male', 'displaydate': '1830 - 1896', 'prefix': None, 'culture': 'British', 'displayname': 'Frederic Leighton', 'alphasort': 'Leighton, Frederic Sir', 'name': 'Frederic Leighton', 'personid': 27133, 'deathplace': 'London England', 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/30755,19th century,1946.35.33,,British,30755,12.3 x 7.2 cm (4 13/16 x 2 13/16 in.)
11579,79,,"Harvard Art Museums/Fogg Museum, Friends of the Fogg Art Museum Fund",2005-05-24T00:00:00-04:00,European and American Art,,61,1946.0,Drawings,https://nrs.harvard.edu/urn-3:HUAM:78554_dynmc,,"Inscriptions refer to the artists Giovanni Bellini (1431-6-1516), Sir Joshua Reynolds (1723-1792; ""Portrait of Sir Abraham Hume,"" 1783, listed in 1876 ""Catalogue of Pictures at Ashridge""), Rembrandt (1606-1669; ""Aristotle with a Bust of Homer""). Inscriptions on verso list train times and list of items required for the voluntary Artists Rifles annual camp.",,,Metalpoint on prepared paper,Inscription (recto and verso),Purchase,"Geoffrey Steele's Bookshop, Mahopac, NY, sold to Fogg, 1946.
",19th century,Department of Drawings,0,"[{'role': 'Artist', 'birthplace': 'Scarborough England', 'gender': 'male', 'displaydate': '1830 - 1896', 'prefix': None, 'culture': 'British', 'displayname': 'Frederic Leighton', 'alphasort': 'Leighton, Frederic Sir', 'name': 'Frederic Leighton', 'personid': 27133, 'deathplace': 'London England', 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/30757,19th century,1946.35.5,,British,30757,12.3 x 7.2 cm (4 13/16 x 2 13/16 in.)
11687,87,,"Harvard Art Museums/Fogg Museum, Friends of the Fogg Art Museum Fund",2005-05-24T00:00:00-04:00,European and American Art,,21,1946.0,Drawings,https://nrs.harvard.edu/urn-3:HUAM:78590_dynmc,,"The inscriptions refer to travel expenses in England. The studies on the verso may have been made in the British Museum, and were used for ""The Arts of Industry as Applied to Peace.""",,,Metalpoint on prepared paper,Inscription; verso: Studies of Ceramics,Purchase,"Geoffrey Steele's Bookshop, Mahopac, NY, sold to Fogg, 1946.
",19th century,Department of Drawings,0,"[{'role': 'Artist', 'birthplace': 'Scarborough England', 'gender': 'male', 'displaydate': '1830 - 1896', 'prefix': None, 'culture': 'British', 'displayname': 'Frederic Leighton', 'alphasort': 'Leighton, Frederic Sir', 'name': 'Frederic Leighton', 'personid': 27133, 'deathplace': 'London England', 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/31008,19th century,1946.35.29,,British,31008,12.3 x 7.2 cm (4 13/16 x 2 13/16 in.)
11691,91,,"Harvard Art Museums/Fogg Museum, Friends of the Fogg Art Museum Fund",2005-05-24T00:00:00-04:00,European and American Art,,19,1946.0,Drawings,https://nrs.harvard.edu/urn-3:HUAM:78558_dynmc,,"Sketches are related to ""The Arts of Industry as Applied to Peace,"" 1883-86, Victoria & Albert Museum, London.",,,Metalpoint on prepared paper,Blank page; verso: Figure Sketches,Purchase,"Geoffrey Steele's Bookshop, Mahopac, NY, sold to Fogg, 1946.
",19th century,Department of Drawings,0,"[{'role': 'Artist', 'birthplace': 'Scarborough England', 'gender': 'male', 'displaydate': '1830 - 1896', 'prefix': None, 'culture': 'British', 'displayname': 'Frederic Leighton', 'alphasort': 'Leighton, Frederic Sir', 'name': 'Frederic Leighton', 'personid': 27133, 'deathplace': 'London England', 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/31012,19th century,1946.35.7,,British,31012,12.3 x 7.2 cm (4 13/16 x 2 13/16 in.)
11692,92,,"Harvard Art Museums/Fogg Museum, Friends of the Fogg Art Museum Fund",2005-05-24T00:00:00-04:00,European and American Art,,36,1946.0,Photographs,https://nrs.harvard.edu/urn-3:HUAM:78635_dynmc,,"One of four photographs tucked into the pocket at back of the sketchbook, possibly taken by Leighton himself.",Collodion process,"Photograph, tucked into pocket at back of sketchbook.",Glossy collodion print on card,"Figures in Doorway, Tangiers, Morocco(?)",Purchase,"[Geoffrey Steele's Bookshop, Mahopac, NY], sold; to Fogg Art Museum, 1946
",1877,Department of Drawings,1877,"[{'role': 'Artist', 'birthplace': 'Scarborough England', 'gender': 'male', 'displaydate': '1830 - 1896', 'prefix': None, 'culture': 'British', 'displayname': 'Frederic Leighton', 'alphasort': 'Leighton, Frederic Sir', 'name': 'Frederic Leighton', 'personid': 27133, 'deathplace': 'London England', 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/31013,19th century,1946.35.62,,British,31013,8 x 6.7 cm (3 1/8 x 2 5/8 in.)
11693,93,,"Harvard Art Museums/Fogg Museum, Friends of the Fogg Art Museum Fund",2005-05-24T00:00:00-04:00,European and American Art,,38,1946.0,Drawings,https://nrs.harvard.edu/urn-3:HUAM:78616_dynmc,,"Inscriptions refer to: Raphael Sanzio (1483-1520; ""The Fornarina,"" c. 1520), Sebastiano del Piombo (1485-6-1547), and Titian.",,,Metalpoint on prepared paper,Inscription (recto and verso),Purchase,"Geoffrey Steele's Bookshop, Mahopac, NY, sold to Fogg, 1946.
",19th century,Department of Drawings,0,"[{'role': 'Artist', 'birthplace': 'Scarborough England', 'gender': 'male', 'displaydate': '1830 - 1896', 'prefix': None, 'culture': 'British', 'displayname': 'Frederic Leighton', 'alphasort': 'Leighton, Frederic Sir', 'name': 'Frederic Leighton', 'personid': 27133, 'deathplace': 'London England', 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/31014,19th century,1946.35.52,,British,31014,12.3 x 7.2 cm (4 13/16 x 2 13/16 in.)
11694,94,,"Harvard Art Museums/Fogg Museum, Friends of the Fogg Art Museum Fund",2005-05-24T00:00:00-04:00,European and American Art,,8,1946.0,Drawings,https://nrs.harvard.edu/urn-3:HUAM:78612_dynmc,,"Studies for ""Wedded,"" c. 1881-82 (Art Gallery of New South Wales, Sydney)",,,Metalpoint on prepared paper,Figure Studies; verso: Sketch,Purchase,"Geoffrey Steele's Bookshop, Mahopac, NY, sold to Fogg, 1946.
",19th century,Department of Drawings,0,"[{'role': 'Artist', 'birthplace': 'Scarborough England', 'gender': 'male', 'displaydate': '1830 - 1896', 'prefix': None, 'culture': 'British', 'displayname': 'Frederic Leighton', 'alphasort': 'Leighton, Frederic Sir', 'name': 'Frederic Leighton', 'personid': 27133, 'deathplace': 'London England', 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/31015,19th century,1946.35.49,,British,31015,12.3 x 7.2 cm (4 13/16 x 2 13/16 in.)
11695,95,,"Harvard Art Museums/Fogg Museum, Friends of the Fogg Art Museum Fund",2005-05-24T00:00:00-04:00,European and American Art,,34,1946.0,Drawings,https://nrs.harvard.edu/urn-3:HUAM:78614_dynmc,,"Sketches for ""The Arts of Industry as Applied to Peace,"" 1883-86, Victoria & Albert Museum. The inscription may be a list of props for the painting.",,,Metalpoint on prepared paper,"Sketches and Inscription (""The Arts of Industry Applied to Peace""?); verso: blank page",Purchase,"Geoffrey Steele's Bookshop, Mahopac, NY, sold to Fogg, 1946.
",19th century,Department of Drawings,0,"[{'role': 'Artist', 'birthplace': 'Scarborough England', 'gender': 'male', 'displaydate': '1830 - 1896', 'prefix': None, 'culture': 'British', 'displayname': 'Frederic Leighton', 'alphasort': 'Leighton, Frederic Sir', 'name': 'Frederic Leighton', 'personid': 27133, 'deathplace': 'London England', 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/31016,19th century,1946.35.50,,British,31016,12.3 x 7.2 cm (4 13/16 x 2 13/16 in.)
11762,62,© Glenn Ligon,"Harvard Art Museums/Fogg Museum, Gift of Narayan and Natasha Khandekar",2005-04-01T00:00:00-05:00,Modern and Contemporary Art,,43,2005.0,Prints,,,"This print is part of the Paper Sculpture Show.  What the Paper Sculpture Show consists of is seventy-seven sheets of paper, by thirty artists (including two persons working together as a single ""artist""), who have each created  a sculpture that is to be cut out from one to four sheets of paper and assembled by a gallery visitor.  The sheets were intended to be taken away from the gallery, that is, the paper sculpture show could occur in three dimensions in any space anywhere; but in the several exhibition venues where the sheets were available, the sculptures were made up and could be viewed as completed works of art.  We already have a portfolio issued in 1995 in a large edition by The Sculpture Center in New York, in which sculptors make two-dimensional distillations of their sculptural aesthetic. ""The Paper Sculpture Show"" takes the process much further, and is more akin to the 1968 SMS portfolios, also in our collection, where offset photolithographic ""things"" -- some of which requiring assembly -- are bundled together, to be unpacked by the owners of the portfolios wherever they please .  Fluxus boxes, while not usually requiring any assembly on the part of their owner, also require participation, even performance.  SMS and Fluxus are essentially movements of the late 1960s; the Paper Sculpture show is their grandchild.",Photolithograph,,Offset photolithograph on two sheets of thin card stock,Pictures at an Exhibition,Gift,"Narayan and Natasha Khandekar, gift; to Harvard University Art Museums, June 28, 2005.",2003,Department of Prints,2003,"[{'role': 'Artist', 'birthplace': 'Bronx, NY', 'gender': 'male', 'displaydate': 'born 1960', 'prefix': None, 'culture': 'American', 'displayname': 'Glenn Ligon', 'alphasort': 'Ligon, Glenn', 'name': 'Glenn Ligon', 'personid': 33623, 'deathplace': None, 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/31246,21st century,M26528,,American,31246,sheet: 34 x 24.8 cm (13 3/8 x 9 3/4 in.)
24219,19,,"Harvard Art Museums/Fogg Museum, Friends of the Fogg Art Museum Fund",2005-05-24T00:00:00-04:00,European and American Art,,15,1946.0,Drawings,https://nrs.harvard.edu/urn-3:HUAM:78593_dynmc,,"The inscriptions refer to artists George Stubbs (1724-1806), Robert Home (1752-1834; ""Portrait of Sir William Meadows""), and Cumberland Lodge in Windsor Great Park.",,,Metalpoint on prepared paper,Blank page; verso: Inscription,Purchase,"Geoffrey Steele's Bookshop, Mahopac, NY, sold to Fogg, 1946.
",19th century,Department of Drawings,0,"[{'role': 'Artist', 'birthplace': 'Scarborough England', 'gender': 'male', 'displaydate': '1830 - 1896', 'prefix': None, 'culture': 'British', 'displayname': 'Frederic Leighton', 'alphasort': 'Leighton, Frederic Sir', 'name': 'Frederic Leighton', 'personid': 27133, 'deathplace': 'London England', 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/47193,19th century,1946.35.31,,British,47193,12.3 x 7.2 cm (4 13/16 x 2 13/16 in.)
24224,24,,"Harvard Art Museums/Fogg Museum, Friends of the Fogg Art Museum Fund",2005-05-24T00:00:00-04:00,European and American Art,,24,1946.0,Drawings,https://nrs.harvard.edu/urn-3:HUAM:78553_dynmc,,"Inscriptions refer to: George Aitchison (1825-1910; architect of Leighton House in London), the artists Alphonse Legros (1837-1911), Wilhelm Rudolf Lehmann (1819-1905), and Thomas Armstrong (1832-1911), and Charles Halle (1846-1919; co-director of the Grosvenor Gallery).",,,Metalpoint on prepared paper,Blank page; verso: Inscription,Purchase,"Geoffrey Steele's Bookshop, Mahopac, NY, sold to Fogg, 1946.
",19th century,Department of Drawings,0,"[{'role': 'Artist', 'birthplace': 'Scarborough England', 'gender': 'male', 'displaydate': '1830 - 1896', 'prefix': None, 'culture': 'British', 'displayname': 'Frederic Leighton', 'alphasort': 'Leighton, Frederic Sir', 'name': 'Frederic Leighton', 'personid': 27133, 'deathplace': 'London England', 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/47198,19th century,1946.35.4,,British,47198,12.3 x 7.2 cm (4 13/16 x 2 13/16 in.)
24225,25,,"Harvard Art Museums/Fogg Museum, Friends of the Fogg Art Museum Fund",2005-05-24T00:00:00-04:00,European and American Art,,55,1946.0,Drawings,https://nrs.harvard.edu/urn-3:HUAM:78549_dynmc,,"The notations are probably for a recipe for creating a plaster surface for ""The Arts of Industry as Applied to Peace,"" 1883-86, Victoria and Albert Museum, London.",,,Metalpoint on prepared paper,"Inscription; verso: Inscription, with Sketch of Head and Shoulders of a Woman",Purchase,"Geoffrey Steele's Bookshop, Mahopac, NY, sold to Fogg, 1946.
",19th century,Department of Drawings,0,"[{'role': 'Artist', 'birthplace': 'Scarborough England', 'gender': 'male', 'displaydate': '1830 - 1896', 'prefix': None, 'culture': 'British', 'displayname': 'Frederic Leighton', 'alphasort': 'Leighton, Frederic Sir', 'name': 'Frederic Leighton', 'personid': 27133, 'deathplace': 'London England', 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/47199,19th century,1946.35.2,,British,47199,12.3 x 7.2 cm (4 13/16 x 2 13/16 in.)
24226,26,,"Harvard Art Museums/Fogg Museum, Friends of the Fogg Art Museum Fund",2005-05-24T00:00:00-04:00,European and American Art,,28,1946.0,Drawings,https://nrs.harvard.edu/urn-3:HUAM:78551_dynmc,,"Inscriptions refer to: Marcus Terentius Varro's (116-27 B.C.) books on grammar known as ""De Lingua Latina."" Fontanalia is a festival held on October 13 in honor of Fontus, the Roman god of wells and springs (mentioned in ""De Lingua Latina,"" VI, 22), when wells and fountains were decorated with garlands and flowers.",,,Metalpoint on prepared paper,Inscription with Sketch; verso: Figure Sketches,Purchase,"Geoffrey Steele's Bookshop, Mahopac, NY, sold to Fogg, 1946.
",19th century,Department of Drawings,0,"[{'role': 'Artist', 'birthplace': 'Scarborough England', 'gender': 'male', 'displaydate': '1830 - 1896', 'prefix': None, 'culture': 'British', 'displayname': 'Frederic Leighton', 'alphasort': 'Leighton, Frederic Sir', 'name': 'Frederic Leighton', 'personid': 27133, 'deathplace': 'London England', 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/47200,19th century,1946.35.3,,British,47200,12.3 x 7.2 cm (4 13/16 x 2 13/16 in.)
24294,94,,"Harvard Art Museums/Fogg Museum, Friends of the Fogg Art Museum Fund",2005-05-24T00:00:00-04:00,European and American Art,,15,1946.0,Drawings,https://nrs.harvard.edu/urn-3:HUAM:78586_dynmc,,"The figure's pose is similar to the figure in blue at the left of ""Captive Andromache,"" 1888 (Manchester Art Gallery).",,,Metalpoint on prepared paper,Blank page; verso: Female Figure,Purchase,"Geoffrey Steele's Bookshop, Mahopac, NY, sold to Fogg, 1946.
",19th century,Department of Drawings,0,"[{'role': 'Artist', 'birthplace': 'Scarborough England', 'gender': 'male', 'displaydate': '1830 - 1896', 'prefix': None, 'culture': 'British', 'displayname': 'Frederic Leighton', 'alphasort': 'Leighton, Frederic Sir', 'name': 'Frederic Leighton', 'personid': 27133, 'deathplace': 'London England', 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/47662,19th century,1946.35.26,,British,47662,12.3 x 7.2 cm (4 13/16 x 2 13/16 in.)
24295,95,,"Harvard Art Museums/Fogg Museum, Friends of the Fogg Art Museum Fund",2005-05-24T00:00:00-04:00,European and American Art,,17,1946.0,Drawings,https://nrs.harvard.edu/urn-3:HUAM:78583_dynmc,,The inscription refers to the Villa Albani in Rome.,,,Metalpoint on prepared paper,"Studies of Trees, Villa Albani; verso: blank page",Purchase,"Geoffrey Steele's Bookshop, Mahopac, NY, sold to Fogg, 1946.
",19th century,Department of Drawings,0,"[{'role': 'Artist', 'birthplace': 'Scarborough England', 'gender': 'male', 'displaydate': '1830 - 1896', 'prefix': None, 'culture': 'British', 'displayname': 'Frederic Leighton', 'alphasort': 'Leighton, Frederic Sir', 'name': 'Frederic Leighton', 'personid': 27133, 'deathplace': 'London England', 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/47663,19th century,1946.35.24,,British,47663,12.3 x 7.2 cm (4 13/16 x 2 13/16 in.)
24297,97,,"Harvard Art Museums/Fogg Museum, Friends of the Fogg Art Museum Fund",2005-05-24T00:00:00-04:00,European and American Art,,19,1946.0,Drawings,https://nrs.harvard.edu/urn-3:HUAM:78556_dynmc,,"Inscriptions may refer to the transportation of a bronze sculpture. The lunette shape may be related to ""The Arts of Industry as Applied to Peace,"" 1883-86, Victoria & Albert Museum.",,,Metalpoint on prepared paper,Inscription; verso: Outline in lunette shape,Purchase,"Geoffrey Steele's Bookshop, Mahopac, NY, sold to Fogg, 1946.
",19th century,Department of Drawings,0,"[{'role': 'Artist', 'birthplace': 'Scarborough England', 'gender': 'male', 'displaydate': '1830 - 1896', 'prefix': None, 'culture': 'British', 'displayname': 'Frederic Leighton', 'alphasort': 'Leighton, Frederic Sir', 'name': 'Frederic Leighton', 'personid': 27133, 'deathplace': 'London England', 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/47665,19th century,1946.35.6,,British,47665,12.3 x 7.2 cm (4 13/16 x 2 13/16 in.)
24302,2,,"Harvard Art Museums/Fogg Museum, Friends of the Fogg Art Museum Fund",2005-05-24T00:00:00-04:00,European and American Art,,86,1946.0,Drawings,https://nrs.harvard.edu/urn-3:HUAM:78561_dynmc,,"Leighton made studies of sculpture at the National Museum of the Bargello in Florence (drawings in Leighton House, London). This sketch is related to a wooden shield covered with fish skin and decorated with ears of corn and crosses in the Bargello Museum. The shield is described as ""Targone di casa Del Pannocchia-Riccomanni, Toscana, fine sec. XIV-XV"" (Large plaque of the Del Pannocchia - Riccomanni house, Tuscany, end of the 14th-15th century). We are grateful to Maria Grazia Vaccari at the Bargello Museum for her help with the identification.",,,Metalpoint on prepared paper,Shield in the Bargello; verso: blank page,Purchase,"[Geoffrey Steele's Bookshop, Mahopac, NY], sold; to Fogg Art Museum1946.
",19th century,Department of Drawings,0,"[{'role': 'Artist', 'birthplace': 'Scarborough England', 'gender': 'male', 'displaydate': '1830 - 1896', 'prefix': None, 'culture': 'British', 'displayname': 'Frederic Leighton', 'alphasort': 'Leighton, Frederic Sir', 'name': 'Frederic Leighton', 'personid': 27133, 'deathplace': 'London England', 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/47672,19th century,1946.35.9,,British,47672,12.3 x 7.2 cm (4 13/16 x 2 13/16 in.)
24303,3,,"Harvard Art Museums/Fogg Museum, Friends of the Fogg Art Museum Fund",2005-05-24T00:00:00-04:00,European and American Art,,27,1946.0,Drawings,https://nrs.harvard.edu/urn-3:HUAM:78597_dynmc,,"Charles Somers, 3rd Earl Somers and Viscount Eastnor (1819-1883), owned Eastnor Castle. Artists included in the inscription are: Gaspard Dughet (Poussin) (1615-1675), Masaccio (1401-before 1428), Paris Bordone (1500-1571), Anthony van Dyck (1599-1641), and Jacopo Tintoretto (1519-1594).",,,Metalpoint on prepared paper,Blank page; verso: Inscription,Purchase,"Geoffrey Steele's Bookshop, Mahopac, NY, sold to Fogg, 1946.
",19th century,Department of Drawings,0,"[{'role': 'Artist', 'birthplace': 'Scarborough England', 'gender': 'male', 'displaydate': '1830 - 1896', 'prefix': None, 'culture': 'British', 'displayname': 'Frederic Leighton', 'alphasort': 'Leighton, Frederic Sir', 'name': 'Frederic Leighton', 'personid': 27133, 'deathplace': 'London England', 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/47673,19th century,1946.35.35,,British,47673,12.3 x 7.2 cm (4 13/16 x 2 13/16 in.)
24307,7,,"Harvard Art Museums/Fogg Museum, Friends of the Fogg Art Museum Fund",2005-05-24T00:00:00-04:00,European and American Art,,74,1946.0,Photographs,https://nrs.harvard.edu/urn-3:HUAM:78629_dynmc,,"One of four photographs tucked into the pocket at back of the sketchbook, possibly taken by Leighton himself.",Collodion process,,Glossy collodion print on card,"Harbor, Tangiers, Morocco(?)",Purchase,"[Geoffrey Steele's Bookshop, Mahopac, NY], sold; to Fogg Art Museum, 1946
",1877,Department of Drawings,1877,"[{'role': 'Artist', 'birthplace': 'Scarborough England', 'gender': 'male', 'displaydate': '1830 - 1896', 'prefix': None, 'culture': 'British', 'displayname': 'Frederic Leighton', 'alphasort': 'Leighton, Frederic Sir', 'name': 'Frederic Leighton', 'personid': 27133, 'deathplace': 'London England', 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/47678,19th century,1946.35.59,,British,47678,7 x 7.1 cm (2 3/4 x 2 13/16 in.)
24308,8,,"Harvard Art Museums/Fogg Museum, Friends of the Fogg Art Museum Fund",2005-05-24T00:00:00-04:00,European and American Art,,16,1946.0,Drawings,https://nrs.harvard.edu/urn-3:HUAM:78628_dynmc,,"Inscriptions refer to: Francesco de' Rossi Salviati (1510-1563), Titian and the Scuola di San Rocco, and the Basilica di S. Maria della Salute, Venice",,,Metalpoint on prepared paper,Inscription; verso: Endpaper,Purchase,"Geoffrey Steele's Bookshop, Mahopac, NY, sold to Fogg, 1946.
",19th century,Department of Drawings,0,"[{'role': 'Artist', 'birthplace': 'Scarborough England', 'gender': 'male', 'displaydate': '1830 - 1896', 'prefix': None, 'culture': 'British', 'displayname': 'Frederic Leighton', 'alphasort': 'Leighton, Frederic Sir', 'name': 'Frederic Leighton', 'personid': 27133, 'deathplace': 'London England', 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/47679,19th century,1946.35.58,,British,47679,12.3 x 7.2 cm (4 13/16 x 2 13/16 in.)
24310,10,,"Harvard Art Museums/Fogg Museum, Friends of the Fogg Art Museum Fund",2005-05-24T00:00:00-04:00,European and American Art,,18,1946.0,Drawings,https://nrs.harvard.edu/urn-3:HUAM:78622_dynmc,,"Inscriptions refer to: Girolamo Romanino (1484-7-1560?), probably his altarpiece in Santa Giustina in Padua (1513-14)",,,Metalpoint on prepared paper,Inscription (recto and verso),Purchase,"Geoffrey Steele's Bookshop, Mahopac, NY, sold to Fogg, 1946.
",19th century,Department of Drawings,0,"[{'role': 'Artist', 'birthplace': 'Scarborough England', 'gender': 'male', 'displaydate': '1830 - 1896', 'prefix': None, 'culture': 'British', 'displayname': 'Frederic Leighton', 'alphasort': 'Leighton, Frederic Sir', 'name': 'Frederic Leighton', 'personid': 27133, 'deathplace': 'London England', 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/47681,19th century,1946.35.55,,British,47681,12.3 x 7.2 cm (4 13/16 x 2 13/16 in.)
24375,75,,"Harvard Art Museums/Fogg Museum, Friends of the Fogg Art Museum Fund",2005-05-24T00:00:00-04:00,European and American Art,,21,1946.0,Drawings,https://nrs.harvard.edu/urn-3:HUAM:78579_dynmc,,Inscriptions relate to names and addresses in Paris and in Germany.,,,Metalpoint on prepared paper,Studies of Baskets; verso: Inscription,Purchase,"Geoffrey Steele's Bookshop, Mahopac, NY, sold to Fogg, 1946.
",19th century,Department of Drawings,0,"[{'role': 'Artist', 'birthplace': 'Scarborough England', 'gender': 'male', 'displaydate': '1830 - 1896', 'prefix': None, 'culture': 'British', 'displayname': 'Frederic Leighton', 'alphasort': 'Leighton, Frederic Sir', 'name': 'Frederic Leighton', 'personid': 27133, 'deathplace': 'London England', 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/47981,19th century,1946.35.22,,British,47981,12.3 x 7.2 cm (4 13/16 x 2 13/16 in.)
24419,19,"© The Dorothea Tanning Foundation / Artists Rights Society (ARS), New York","Harvard Art Museums/Fogg Museum, Anonymous loan",2005-04-01T00:00:00-05:00,Modern and Contemporary Art,,525,,Prints,,,"This lithograph is very much a latter-day Tanning, and she herself admits it is a retrospective self-portrait, according to the dealer from which this was purchased.  The print shows Tanning as a young art student carrying her portfolio of drawings, which when opened proves to hold her psychic self, her self-projection as an erotic fantasy, naked from the waist down (whatever part of her body that does not show with the portfolio closed). She rides a red-feathered cyclopean humanoid of indeterminate sex which, in turn, rides a white avian creature on a perch; the red creature is wringing the neck of the white creature.  Although Tanning shows herself at a very young age -- perhaps still an adolescent -- the monstrous birds suggest she is significantly older.  

She moved to New York City in 1935 and in the 1940s met the surrealist painter Max Ernst, whom she would marry in 1946.  Ernst characteristically personified his iconic motifs as savant bird forms, and thus this young girl riding high over two surrealist (in her own style) birds, in a tableau filled with sex and violence, must evoke her existence after the war, when she and Ernst lived in France for the most part.",Lithograph,,"Lithograph printed in colors, with folding portfolio element",Portfolio,Not Recorded,,1992,Department of Prints,1992,"[{'role': 'Artist', 'birthplace': 'Galesburg, Illinois', 'gender': 'female', 'displaydate': '1910 - 2012', 'prefix': None, 'culture': 'American', 'displayname': 'Dorothea Tanning', 'alphasort': 'Tanning, Dorothea', 'name': 'Dorothea Tanning', 'personid': 25477, 'deathplace': 'New York, New York', 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/48133,20th century,24.2005,,American,48133,greatest dimen.: 122.3 x 60.3 cm (48 1/8 x 23 3/4 in.)
24919,19,,"Harvard Art Museums/Fogg Museum, Anonymous Loan",2005-03-25T00:00:00-05:00,Modern and Contemporary Art,,93,,Prints,https://nrs.harvard.edu/urn-3:HUAM:INV044742_dynmc,,"The print shows four of Mussolini's Black Shirts. Presumably this is an image incorporated in, or related to, Sandri's illustrations to ""Fanciulli d'Italia"" by A.V. Gentile, published in 1921. Two toughs, their cruel faces in profile, stand menacingly in front of two less hardened men, one young, one old, seen full-face.  The artist's brilliant combination of pose and attitude, together with the vigorous patterning of the blocked-in black shirts and sketchy rendering of the rest of the forms, creates a singularly sophisticated image, which rises above caricature.  This is a parallel to the far more famous tusche lithographs of Nolde and especially Grosz, which document parallel developments among the Germans to the north.",Lithograph,,,Black Shirts,Not Recorded,"Gino Sandri, Gift to Augusto Calabi, 1922.
Augusto Calabi, Gift from the artist, 1922, Bequest to son.
",c. 1921,Department of Prints,1926,"[{'role': 'Artist', 'birthplace': 'Rossignlione, Genoa, Italy', 'gender': 'unknown', 'displaydate': '1892 - 1959', 'prefix': None, 'culture': 'Italian', 'displayname': 'Gino Sandri', 'alphasort': 'Sandri, Gino', 'name': 'Gino Sandri', 'personid': 25448, 'deathplace': None, 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/49546,20th century,23.2005,,Italian,49546,stone: 40 x 30 cm (15 3/4 x 11 13/16 in.)
